setting,seed,q,N_cal,n,k,label
arc/Text,123,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,124,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,125,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,126,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,127,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,128,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,129,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,130,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,131,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,132,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,133,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,134,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,135,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,136,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,137,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,138,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,139,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,140,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,141,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,142,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,143,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,144,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,145,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,146,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,147,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,148,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,149,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,150,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,151,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,152,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,153,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,154,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,155,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,156,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,157,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,158,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,159,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,160,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,161,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,162,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,163,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,164,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,165,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,166,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,167,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,168,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,169,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,170,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,171,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,172,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,173,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,174,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,175,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,176,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,177,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,178,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,179,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,180,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,181,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,182,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,183,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,184,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,185,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,186,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,187,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,188,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,189,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,190,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,191,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,192,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,193,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,194,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,195,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,196,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,197,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,198,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,199,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
arc/Text,200,0.0,448,0,0,"DIAGNOSTIC (descriptive, not deployable)"
