dataset,group_id,fold,n,members
obqa,obqa_bccace7961d0ec89f5c6,4,1,10-258
obqa,obqa_6ec385001f8e0541f037,0,1,7-826
obqa,obqa_55ff8c44720a3cdcec9a,1,1,10-645
obqa,obqa_f74e8f68c66516b7c9eb,2,1,482
obqa,obqa_4d5ca9e05dad9a747f81,3,1,7-122
obqa,obqa_7e978e54e7bd4bf76ba9,4,1,12-334
obqa,obqa_e1df6680c9866eebb6fd,0,1,10-840
obqa,obqa_46e25aad74745ea8d9b2,1,1,12-15
obqa,obqa_4c85536e1a00bef74e09,2,1,14-573
obqa,obqa_1514a2449b432f4e21e8,3,1,10-1136
obqa,obqa_00b6591f412afe4ebf17,4,1,13-94
obqa,obqa_b4a59779ce641af6ba2c,0,1,12-285
obqa,obqa_4f0a5ed2cfd75b260fea,1,1,684
obqa,obqa_bc7528eb5731a2524114,2,1,9-1148
obqa,obqa_8214f5961f6c6bbe8201,3,1,10-692
obqa,obqa_58b07cb9db16640e63d1,4,1,14-699
obqa,obqa_b337e95555a6d3d39ef5,0,1,11-433
obqa,obqa_3be9512bf0364b86eda5,1,1,9-467
obqa,obqa_677aaf339b90439165fb,2,1,10-190
obqa,obqa_dc715a56aff46ccb3649,3,1,274
obqa,obqa_e24ef5dc17ec3e2497fb,4,1,14-270
obqa,obqa_d009b5069897ec566c49,0,1,10-544
obqa,obqa_8aed1b4c625a025a25d9,1,1,10-172
obqa,obqa_443864ed73a1cbf4b1db,2,1,14-858
obqa,obqa_8989781d5cc867aa1dda,3,1,12-619
obqa,obqa_944d425329acd42f475e,4,1,396
obqa,obqa_11c03ed310744ea30ccc,0,1,14-1012
obqa,obqa_96ab248bc565fc577d73,1,1,10-1100
obqa,obqa_d88b2c4ada3e08547dd1,2,1,10-984
obqa,obqa_d0dd1df57e78c0eead72,3,1,12-987
obqa,obqa_531ca7ec5ea09bde9f79,4,1,13-352
obqa,obqa_7e78f9520d89b71e02e0,0,1,7-1115
obqa,obqa_40c7c4aaf70a60985700,1,1,9-1107
obqa,obqa_cebffff448649671bb68,2,1,11-331
obqa,obqa_a6d06c9bed7d7dd87b07,3,1,13-40
obqa,obqa_df9f3b439a7aebeeb743,4,1,9-546
obqa,obqa_36c85265950e6225e580,0,1,7-42
obqa,obqa_ec33b308056df17a42b0,1,1,13-843
obqa,obqa_52aa344f9cf84b716ebd,2,1,781
obqa,obqa_f745a94cf5751ba76bfa,3,1,14-718
obqa,obqa_5d3c5c237fed8e35f2c5,4,1,14-101
obqa,obqa_c5c881793afd96b6ea86,0,1,10-282
obqa,obqa_6f699828f42093f4eb25,1,1,1058
obqa,obqa_7e56825bd29b1b3ba449,2,1,14-1369
obqa,obqa_1112dfbd1cd2ce3697c0,3,1,9-355
obqa,obqa_bd6495556ddd456def56,4,1,12-665
obqa,obqa_a682f1b8b6bca7e68341,0,1,9-48
obqa,obqa_ba3229ad5fd3932782c3,1,1,13-795
obqa,obqa_f44201bcd44abbbf2853,2,1,14-763
obqa,obqa_c12397f804e013198b87,3,1,12-1044
obqa,obqa_a26eeb0a60a71ba5e81a,4,1,9-208
obqa,obqa_7cf78400fb333374c011,0,1,9-195
obqa,obqa_1e23d30ef8fa12ecd9f1,1,1,14-803
obqa,obqa_e1efa20638b2efb33e1c,2,1,13-789
obqa,obqa_2f86ab3311d31cc8b012,3,1,12-967
obqa,obqa_469d708bfe22143c20b3,4,1,12-400
obqa,obqa_c690f9bf243c2d7d822d,0,1,10-11
obqa,obqa_edfd0519f59a2b3268ab,1,1,13-186
obqa,obqa_8b098399208c9834c6a0,2,1,12-493
obqa,obqa_204d68315cb93d444fe6,3,1,13-700
obqa,obqa_9c9937994eaf21f7bf9b,4,1,9-773
obqa,obqa_17801f4719a6239596f7,0,1,10-120
obqa,obqa_3fc89613d17b9bf3d41c,1,1,14-815
obqa,obqa_df72d33eb0cff6200d16,2,1,1102
obqa,obqa_e18bf28594a2be9b56ce,3,1,8-219
obqa,obqa_f7efdc78e0d5ffce6880,4,1,14-1418
obqa,obqa_8aed6c1151b2da556e11,0,1,11-276
obqa,obqa_f45b4f0f1b63cf694e5f,1,1,7-748
obqa,obqa_fc471a0c00b8d4612eed,2,1,822
obqa,obqa_32da5241d92c8fcdbc90,3,1,7-56
obqa,obqa_78edd8285d0a4613af1f,4,1,14-90
obqa,obqa_97e819cac7b10ed44e87,0,1,11-420
obqa,obqa_193f351d090a20b57916,1,1,10-664
obqa,obqa_1d3f3a50890e30a215ed,2,1,12-392
obqa,obqa_c06c365717e7ae90730c,3,1,12-381
obqa,obqa_e1aa1a255d8f39551b58,4,1,8-243
obqa,obqa_983332c97ccd4d824496,0,1,9-1070
obqa,obqa_6cab34c50b2b55ceb424,1,1,11-446
obqa,obqa_44dfd4f0e77264c5594f,2,1,9-1158
obqa,obqa_7ed61f264a7fb72c6ea2,3,1,11-400
obqa,obqa_31df4de26607b3abcd52,4,1,10-514
obqa,obqa_7d02d901a99365131eeb,0,1,12-14
obqa,obqa_ad819f1f7f9c9d41ba85,1,1,11-125
obqa,obqa_fd5da354599e5e7a02d6,2,1,8-200
obqa,obqa_c658e82be0632790f814,3,1,8-245
obqa,obqa_b173ec580ae990cedd46,4,1,7-21
obqa,obqa_d4c0b14b277d55d6aa7a,0,1,1383
obqa,obqa_9c20c0019ea7a6593c77,1,1,13-500
obqa,obqa_1c9e8c7d243dbda3eee3,2,1,13-151
obqa,obqa_e96974b37222bf60bd27,3,1,110
obqa,obqa_88aebd839d033c96fa70,4,1,14-220
obqa,obqa_9bd42ff8353761b45082,0,1,12-432
obqa,obqa_f3aff9e62c978f784d65,1,1,7-1126
obqa,obqa_35399b9591aff1111aab,2,1,9-87
obqa,obqa_956a5405b1574ebfa7d5,3,1,12-296
obqa,obqa_82d2f00fe9d1c0d9dfbe,4,1,9-829
obqa,obqa_d16f0284e7b47508e8d5,0,1,11-195
obqa,obqa_805ec9fc62de4513a994,1,1,9-333
obqa,obqa_db4b94eda6679df6a08b,2,1,13-1035
obqa,obqa_fa3161f8676c8e5f1926,3,1,12-775
obqa,obqa_260b98f83ce8afadee79,4,1,14-1460
obqa,obqa_b74181d9dfd9101e79f4,0,1,10-520
obqa,obqa_3f4fdb7e7caf36c3b729,1,1,14-1235
obqa,obqa_21b06fe6c9b9aa18b7a3,2,1,8-78
obqa,obqa_8832a2903e5cc3175a2d,3,1,10-38
obqa,obqa_886f32957ecae3585489,4,1,13-636
obqa,obqa_8a08ca1528713f0ef579,0,1,12-167
obqa,obqa_9d858683985e08c851e5,1,1,11-336
obqa,obqa_424748c50aa41b609f9e,2,1,10-728
obqa,obqa_7c3aa9f20bc6353223df,3,1,12-690
obqa,obqa_707ca6adb49c35b36f4d,4,1,14-250
obqa,obqa_6997d9cc239437c9066c,0,1,13-580
obqa,obqa_92610381d5ab20b39f17,1,1,10-252
obqa,obqa_25706927f1164b351ecc,2,1,10-137
obqa,obqa_a6637c400d68ce95a9f0,3,1,7-585
obqa,obqa_5a6803c700d91ad9a246,4,1,13-956
obqa,obqa_85d620ba281efaec5493,0,1,13-156
obqa,obqa_93d214d76c12b120d6cf,1,1,10-869
obqa,obqa_a158ed3ebfbfcd79877d,2,1,8-4
obqa,obqa_0c5705ea5c244f11fd6f,3,1,13-398
obqa,obqa_f1c33a493ce6de3bac68,4,1,1573
obqa,obqa_cefe52d127cf459f9e87,0,1,13-966
obqa,obqa_c44d02361687cd096832,1,1,13-662
obqa,obqa_13fbf5986959e0666e3f,2,1,12-1061
obqa,obqa_96d78a30a6f167f05f7b,3,1,13-86
obqa,obqa_4eb474e844ab541815c5,4,1,14-1361
obqa,obqa_42ef2f4281b14dbc9cd3,0,1,13-746
obqa,obqa_b1cca1cbae3b46e0d8ee,1,1,13-880
obqa,obqa_44f62e11a1153d3585d9,2,1,14-760
obqa,obqa_42483ca98a1e1dc6283b,3,1,13-965
obqa,obqa_ba26f5556a1f2ed4fb7f,4,1,11-23
obqa,obqa_f1c4d8003f0148b2a105,0,1,14-990
obqa,obqa_a79ed6904368ea063fa8,1,1,1167
obqa,obqa_109e874e5546f7cf3088,2,1,13-388
obqa,obqa_8bacf029ae75cd3fb7ef,3,1,12-351
obqa,obqa_b63ec9ec2f8569f357ae,4,1,14-1385
obqa,obqa_5ecfad61679b482a5a5b,0,1,10-806
obqa,obqa_688cc2fe47c94cca3557,1,1,10-1040
obqa,obqa_81dd2a996db6e23de9b6,2,1,14-1399
obqa,obqa_8b09a5aa78901612f071,3,1,13-48
obqa,obqa_2f9b8222f19d49084645,4,1,13-12
obqa,obqa_78a3837923df403c72b4,0,1,10-147
obqa,obqa_9e6327bb2911ae42419c,1,1,1176
obqa,obqa_3786f87034ea6b64f58b,2,1,10-578
obqa,obqa_851c27ebab08f9316ea4,3,1,10-900
obqa,obqa_dd243ef4454aaf4afb25,4,1,12-627
obqa,obqa_b8a412686f2c7489db21,0,1,12-294
obqa,obqa_29be1368a7a6519f6d6e,1,1,14-300
obqa,obqa_584b7c02154248e4247b,2,1,12-456
obqa,obqa_10476c0fcafcc1496155,3,1,12-391
obqa,obqa_e6f4c22b80d0eba87bfb,4,1,12-746
obqa,obqa_5bb4adf0607e2d590114,0,1,14-492
obqa,obqa_4ac3dd1416e397b55b67,1,1,10-661
obqa,obqa_6ad4a3a0b70ac8e1b50e,2,1,14-661
obqa,obqa_14dce64c9b8dd079d144,3,1,13-536
obqa,obqa_beee0a58446904e095a2,4,1,13-106
obqa,obqa_32a3b35f1c2572d4c323,0,1,14-1436
obqa,obqa_ffedb171bc99873ea744,1,1,14-1248
obqa,obqa_b31751cdad0f156d93b9,2,1,11-330
obqa,obqa_9257f3be8ca6256a0c8e,3,1,13-249
obqa,obqa_e4e830cf0d1f6c188c89,4,1,9-936
obqa,obqa_74a84a7e5fe5fe1bd7ef,0,1,13-222
obqa,obqa_fc639b0bc1d07dad5cdd,1,1,12-929
obqa,obqa_70d06f5a3086fa4b242f,2,1,14-1201
obqa,obqa_c429cedacd4e49898144,3,1,10-628
obqa,obqa_1fd4c3533c6e8404565f,4,1,10-599
obqa,obqa_b6a450e2793ac3ac418d,0,1,11-472
obqa,obqa_ee5ec1744a6bfd9e8baa,1,1,12-975
obqa,obqa_9ca5cf618fcffe66546e,2,1,10-50
obqa,obqa_a53502d4b12cc232efd4,3,1,12-302
obqa,obqa_59ae58d930ece833632e,4,1,10-1126
obqa,obqa_7c139d50f76a0bd0b80d,0,1,12-472
obqa,obqa_f32e4bf6024bd1ff9084,1,1,10-903
obqa,obqa_718334b7ab89db7ac087,2,1,12-1089
obqa,obqa_4d504b0558392c4e757d,3,1,8-419
obqa,obqa_b23cffd884c6ed272511,4,1,11-11
obqa,obqa_3d452114f251322a1146,0,1,8-294
obqa,obqa_edfc9aba302c6527300d,1,1,11-33
obqa,obqa_a19938940a950e64ebcb,2,1,10-262
obqa,obqa_6855ef1eb55120156a8d,3,1,13-302
obqa,obqa_aae9f3d71e9cec9b34b1,4,1,11-2
obqa,obqa_b1ee28af4fba7ff96e1c,0,1,1827
obqa,obqa_0d1a22bcaead19befc8a,1,1,1846
obqa,obqa_ce9eece3ad4fdc75a4b5,2,1,1757
obqa,obqa_cf52d0ccc177310e6c5e,3,1,12-126
obqa,obqa_cf8bd92915dba58747c5,4,1,14-939
obqa,obqa_ddef57ef6a3cbeb9c394,0,1,1027
obqa,obqa_aba4b95c128aa6a29650,1,1,14-1283
obqa,obqa_ce7493b3220f3844849d,2,1,14-850
obqa,obqa_73e8ca50871b070eff61,3,1,13-861
obqa,obqa_b4b2ab11b63e0dc01f9b,4,1,12-734
obqa,obqa_0192761e9f2e4afe5d7f,0,1,7-836
obqa,obqa_8d0b4cab5fe5377b743a,1,1,14-895
obqa,obqa_2346ae894022079be5a4,2,1,13-723
obqa,obqa_fc2498b1b645eb4a9785,3,1,14-1463
obqa,obqa_777562e25c3c663d31be,4,1,14-93
obqa,obqa_64f87cd104c790320493,0,1,14-183
obqa,obqa_11791a183e76caefe76d,1,1,12-379
obqa,obqa_1b0a1214561f9304ddf1,2,1,12-942
obqa,obqa_fb507bb2fd06e152ef68,3,1,12-825
obqa,obqa_e30c11522e51ce86aac0,4,1,14-819
obqa,obqa_27c764f06f6b6d2594c6,0,1,12-444
obqa,obqa_e73865d0b425dacfce81,1,1,13-101
obqa,obqa_6c2d36cadfccc38dfec3,2,1,13-882
obqa,obqa_9b694d2fe0b52eac2840,3,1,14-1268
obqa,obqa_f8013d26bcf443d8297a,4,1,14-135
obqa,obqa_73c847621f36a7370521,0,1,10-158
obqa,obqa_70943bb8748537518601,1,1,12-33
obqa,obqa_224f8a8361042a3a95f4,2,1,14-24
obqa,obqa_65aba1d991b759943686,3,1,1248
obqa,obqa_c2a8e23d96418e382303,4,1,1217
obqa,obqa_452fa7ddc2999a306519,0,1,10-680
obqa,obqa_6389fc67663dad5dca91,1,1,13-480
obqa,obqa_0060b65f3222cb4ebd5f,2,1,8-267
obqa,obqa_86f1a7f7ed36b9916148,3,1,13-10
obqa,obqa_d626abc51e5ba4e0015e,4,1,768
obqa,obqa_233ef9ed3d67b9862a6a,0,1,12-265
obqa,obqa_68f971fd06eb1cd28b7d,1,1,7-591
obqa,obqa_60c603d6acf1b74cd177,2,1,11-501
obqa,obqa_48cfaffacf65f05b3183,3,1,8-492
obqa,obqa_3a99ea18c5941bb6cf0f,4,1,11-658
obqa,obqa_213e493e9cb432cf1e2e,0,1,7-1084
obqa,obqa_58c150229449dd6722bd,1,1,14-857
obqa,obqa_b8d9c9fc7993595a43b2,2,1,7-408
obqa,obqa_43ef9039a2903a6739e8,3,1,12-616
obqa,obqa_f811b957d8cdaca72678,4,1,13-566
obqa,obqa_e591ac731935efd97930,0,1,14-1430
obqa,obqa_94dea13eede3f863006a,1,1,12-110
obqa,obqa_d886e71574cd24827c1d,2,1,14-1052
obqa,obqa_e9cc46be8a29d37d3315,3,1,13-673
obqa,obqa_5ebf02145783b9e841c3,4,1,8-480
obqa,obqa_f8f1e48ef28254b3c386,0,1,14-1214
obqa,obqa_32b5c1abb9550a163008,1,1,10-736
obqa,obqa_c937d6bb6895f77495a0,2,1,14-1217
obqa,obqa_a759c698aa587898c821,3,1,12-620
obqa,obqa_3398358dc7de177ae23c,4,1,13-931
obqa,obqa_6c009cb102c4de396f5d,0,1,10-898
obqa,obqa_e8b4ec841717f45d3db7,1,1,9-9
obqa,obqa_13216b20009a91d0f203,2,1,7-926
obqa,obqa_8aa5065e2baed0614aca,3,1,13-329
obqa,obqa_991a88c2dab2671ce786,4,1,10-1092
obqa,obqa_b0ae2b32ba2cf1b31045,0,1,12-647
obqa,obqa_ff136de809c788e21168,1,1,12-741
obqa,obqa_3acac17ee28ceab76237,2,1,8-391
obqa,obqa_739e71935356b77bfaa1,3,1,13-1024
obqa,obqa_2a184d3bcc9b482b3c6b,4,1,11-367
obqa,obqa_c93d21d1fba76b21bacf,0,1,12-269
obqa,obqa_bbcf525f2fba82e6b518,1,1,8-210
obqa,obqa_bef6cf690472e5867eda,2,1,10-924
obqa,obqa_c52d981be9ebc3846a59,3,1,12-884
obqa,obqa_a50229d190329ac5f29f,4,1,12-153
obqa,obqa_68ee178adf339bb4b16b,0,1,12-330
obqa,obqa_75eb789c09bcf93943e3,1,1,13-1050
obqa,obqa_489662dd76a2539d1649,2,1,7-340
obqa,obqa_34b341f814a4c02f38ab,3,1,7-189
obqa,obqa_3b21df98e33250d981af,4,1,588
obqa,obqa_13004276c93c034758c3,0,1,10-398
obqa,obqa_13fea5f75e2891cf22b7,1,1,9-968
obqa,obqa_5855e502c6bc7359b54a,2,1,8-388
obqa,obqa_e943f63def5887bf9f50,3,1,12-703
obqa,obqa_2ac621e1a68a18acc89e,4,1,14-751
obqa,obqa_dd46a75ec1cb49a9d264,0,1,9-649
obqa,obqa_9cb1fdfb111a0cebdc1e,1,1,14-74
obqa,obqa_9e7b83b64395ed7cfad2,2,1,10-63
obqa,obqa_1ea428afe65c2160eedf,3,1,9-1142
obqa,obqa_6e87184c7e989459d5cf,4,1,13-615
obqa,obqa_e28775c632e64d213122,0,1,9-1065
obqa,obqa_16a67a4d867aef5cf050,1,1,13-468
obqa,obqa_f6dc59e1a7c6757488e9,2,1,14-950
obqa,obqa_35e841b66b37a9cb40d6,3,1,14-1309
obqa,obqa_e6647f4a3906ec86a1e7,4,1,10-809
obqa,obqa_3e54050ebae7b8812688,0,1,14-166
obqa,obqa_a5a990477e6b28bbf019,1,1,319
obqa,obqa_2db5884cfd34919622c0,2,1,10-267
obqa,obqa_f4d9fc189ce80b8bfd33,3,1,12-687
obqa,obqa_eb800fd8f3c4a34567f3,4,1,14-787
obqa,obqa_fc279090d9da9c5a9425,0,1,12-731
obqa,obqa_cf7dbb79d1041f855cc7,1,1,14-693
obqa,obqa_943768d84ee909bb2cef,2,1,9-639
obqa,obqa_926d6dcda1aaef79ae15,3,1,12-196
obqa,obqa_0196ff7b50cfe8bb0af4,4,1,12-515
obqa,obqa_75c5302cb05e847d6cba,0,1,9-558
obqa,obqa_a29cd970f94e177e554c,1,1,12-483
obqa,obqa_83cc7b2d90cc80f5820a,2,1,656
obqa,obqa_480ee8e471eaaf603f81,3,1,9-1088
obqa,obqa_c87b0f6e3ef21bbb874b,4,1,13-131
obqa,obqa_bb79ac58d2a96816bc9e,0,1,12-147
obqa,obqa_dbfd41fafc4de072af3b,1,1,11-333
obqa,obqa_0f85dc390755b6b31661,2,1,12-71
obqa,obqa_336b3dd8b4836eef6f0d,3,1,12-649
obqa,obqa_b9684f2888a2adfdb60a,4,1,7-784
obqa,obqa_4ff989b8dedab087d519,0,1,11-294
obqa,obqa_65865f223bc4810267d8,1,1,13-1011
obqa,obqa_10af911e777696a6da41,2,1,10-637
obqa,obqa_fa87e08c81dbafbe5d11,3,1,13-26
obqa,obqa_569412e8c8f448c10362,4,1,9-486
obqa,obqa_4fdc778265e6a5a60531,0,1,12-25
obqa,obqa_3b8b574bf1fda7f0f92b,1,1,585
obqa,obqa_7dd62591017853d02eab,2,1,7-1175
obqa,obqa_016cc7c68a110d8d0da0,3,1,10-1090
obqa,obqa_c8066646f0905df331ba,4,1,11-21
obqa,obqa_4fe9dba4ea519ec5aa40,0,1,7-47
obqa,obqa_981dd62953e1bd9945b3,1,1,13-621
obqa,obqa_151693e46342d1e51fa3,2,1,12-1103
obqa,obqa_5f24eca88e236fe9b05c,3,1,13-1044
obqa,obqa_08902ab64afdf5640a9f,4,1,14-114
obqa,obqa_cd205ce427aebbf0ebcb,0,1,13-105
obqa,obqa_cc2fced950be4ce1fdb1,1,1,196
obqa,obqa_cd8b883ac3b913547060,2,1,13-632
obqa,obqa_3530c383dd46016f2965,3,1,12-1080
obqa,obqa_c8d2baf242d4946dce86,4,1,10-653
obqa,obqa_d4af93b54915b0f6b95d,0,1,7-708
obqa,obqa_6aa09869b539c70bc674,1,1,14-578
obqa,obqa_64eb91866181334b019e,2,1,13-449
obqa,obqa_f5e84866478c557857c7,3,1,10-1123
obqa,obqa_6546312e7c42b2210f4b,4,1,14-1234
obqa,obqa_0ee433666f6d31c63358,0,1,8-487
obqa,obqa_8728570e422f9e38d11b,1,1,12-36
obqa,obqa_6c4989319c42a801b75c,2,1,11-307
obqa,obqa_8cf3db00597da694f27f,3,1,9-236
obqa,obqa_79ced2dc37b6c2f57abf,4,1,11-478
obqa,obqa_45d4afb9d486747fe0ca,0,1,13-318
obqa,obqa_6b01f21ebb50301db314,1,1,12-93
obqa,obqa_d7f09e1d85355aef8d71,2,1,12-226
obqa,obqa_e5ae8a1e6a62802c11a6,3,1,14-337
obqa,obqa_efd7f208d6a9fbfae771,4,1,14-1274
obqa,obqa_57d3e6de6d5e30dec248,0,1,10-41
obqa,obqa_a1158d2c9e4185f6ca8a,1,1,7-29
obqa,obqa_8870f822ab016d42feae,2,1,12-767
obqa,obqa_e312b96fd66a197aaafe,3,1,7-729
obqa,obqa_cc23db2c60ce5d20f93d,4,1,14-893
obqa,obqa_eb85029d7841a902a3f3,0,1,10-1107
obqa,obqa_d55eb4641ced2b6234a7,1,1,13-458
obqa,obqa_8b146f402d26f4963109,2,1,12-1182
obqa,obqa_ddf93ad18e62c88f2eec,3,1,12-959
obqa,obqa_3a3999fe27e750c63ba0,4,1,10-521
obqa,obqa_d585786924304a1d1adc,0,1,12-1160
obqa,obqa_f6060db9a14365c8116b,1,1,12-624
obqa,obqa_46f2ee75c9071fc23470,2,1,13-606
obqa,obqa_4962f2388b04f8f9a6cd,3,1,8-254
obqa,obqa_b8887bd146a5e445a8b5,4,1,12-675
obqa,obqa_102f5124a46200fe0385,0,1,11-13
obqa,obqa_58e3e2a5911859cd2d6d,1,1,10-343
obqa,obqa_ac957682d568a392d3fe,2,1,1908
obqa,obqa_05b7de16a456889106de,3,1,12-836
obqa,obqa_43041e956db4e618aead,4,1,12-1036
obqa,obqa_4939461bd8004422d7f5,0,1,205
obqa,obqa_234588eb1e11e6c0216d,1,1,10-579
obqa,obqa_31e8d427ace6b5dd0f2e,2,1,10-404
obqa,obqa_6e71509d63d40680d5d4,3,1,10-575
obqa,obqa_54d298d9456a0054abfb,4,1,7-412
obqa,obqa_c060152adde5fa4b72f8,0,1,14-802
obqa,obqa_0dff0f00e5b643a3f052,1,1,9-497
obqa,obqa_b2abb51c27f2b6b0d221,2,1,8-14
obqa,obqa_c96fa9f1fa74fcb0a7f9,3,1,14-475
obqa,obqa_f231344c7b46ba6f35e2,4,1,13-193
obqa,obqa_f2f9df047b320a7ec337,0,1,12-547
obqa,obqa_ab4c7371f52610b27ad8,1,1,10-1021
obqa,obqa_394bb73d7c074f6ad902,2,1,1412
obqa,obqa_78e537c02a28e1b1f785,3,1,1656
obqa,obqa_cb12f2b6442cb9fd47fe,4,1,12-353
obqa,obqa_808f0ff9c4b2c5c86499,0,1,7-1110
obqa,obqa_8170c798b9bff30c77ce,1,1,12-594
obqa,obqa_3bb91d54435d9a4cac35,2,1,94
obqa,obqa_61aa4cd7f36155a3ff0b,3,1,12-396
obqa,obqa_b6c54d715e5eaff7af9d,4,1,7-632
obqa,obqa_408e2d96f0d9f2fc0691,0,1,13-201
obqa,obqa_704046cbb6b046def9f7,1,1,12-996
obqa,obqa_5e8dfa85f078b2da29eb,2,1,12-551
obqa,obqa_57bf79f58a2b24644e26,3,1,7-890
obqa,obqa_d41bb4c04ef9a0c2897b,4,1,13-547
obqa,obqa_6b1f2e7daae32b6ae0dc,0,1,8-174
obqa,obqa_e56e8ca92453967dcf3f,1,1,10-1003
obqa,obqa_5bc6348d4da4d65a24e3,2,1,7-995
obqa,obqa_0429d9116e9cd5dcbb68,3,1,9-527
obqa,obqa_833d72cf12dd82319faf,4,1,12-467
obqa,obqa_99b05917842a9ada2390,0,1,12-784
obqa,obqa_968b3b9fcc744ff6915c,1,1,14-100
obqa,obqa_b57e7f6da57b0420317c,2,1,10-538
obqa,obqa_eb635bc6056a47127fe8,3,1,8-317
obqa,obqa_931f54663ebb59322633,4,1,10-790
obqa,obqa_bc9dde3a3cb5c0c71529,0,1,9-850
obqa,obqa_468a998821220d0d11fb,1,1,11-500
obqa,obqa_df6b3d5fdd62c981258d,2,1,1879
obqa,obqa_8ac013d146d44e4946f2,3,1,12-692
obqa,obqa_6427c00c64878b22e489,4,1,10-918
obqa,obqa_54149c1f22cb5fe3bac6,0,1,10-720
obqa,obqa_360ada0834c1e80a2df0,1,1,11-163
obqa,obqa_42bef189fadde0a27451,2,1,302
obqa,obqa_60952247c756f9c5744e,3,1,10-946
obqa,obqa_10c2a31325922abc63fe,4,1,14-172
obqa,obqa_2f890cb62f82669a28bd,0,1,14-307
obqa,obqa_8d8a49868322c9c20fdc,1,1,13-693
obqa,obqa_b53dc063a5d69a9fd9b9,2,1,14-1319
obqa,obqa_b18bfa9b854dbf4b55a9,3,1,13-854
obqa,obqa_c03669149078e8ed8002,4,1,9-651
obqa,obqa_01fc19c14cf60f279532,0,1,770
obqa,obqa_05750e311aefe88e76bb,1,1,10-1210
obqa,obqa_0dc3ed9af8f7fae886a4,2,1,13-510
obqa,obqa_e934f27e58db25571a29,3,1,825
obqa,obqa_1969ff0cc51afa07e5cb,4,1,11-612
obqa,obqa_588af2d25cf385cab207,0,1,7-362
obqa,obqa_fb75947712025e343f96,1,1,10-197
obqa,obqa_c489cf25e40bac4bfd4a,2,1,10-744
obqa,obqa_e280f077c828d558a57f,3,1,1014
obqa,obqa_ce8fd769815470bceac5,4,1,8-462
obqa,obqa_4a365064e3ca5c304e19,0,1,7-744
obqa,obqa_56f2c7a661655c27ef72,1,1,12-636
obqa,obqa_5bd49948763fbb29a81a,2,1,13-39
obqa,obqa_cc83cf308c7855c51766,3,1,14-302
obqa,obqa_aef477e7b7619e90d040,4,1,911
obqa,obqa_647f26e8cbbb6585d1bf,0,1,12-634
obqa,obqa_5c56b20e4bfcb12ddca7,1,1,11-41
obqa,obqa_a3b3f56dc5a37408984e,2,1,10-461
obqa,obqa_dcf6dc067382b904139f,3,1,9-1149
obqa,obqa_8a86bee3893a2929c1dc,4,1,12-24
obqa,obqa_f774dd54e2ad091d0c6c,0,1,9-625
obqa,obqa_f77c3d25177b2673957d,1,1,10-321
obqa,obqa_8e3e9fd07f0b85282ab9,2,1,14-360
obqa,obqa_fce5ab3d9139117f303f,3,1,10-122
obqa,obqa_012f7a80022e918b36a8,4,1,12-575
obqa,obqa_8321b165fd9702e3ec17,0,1,12-272
obqa,obqa_fd3896f70c3bac0e643e,1,1,13-959
obqa,obqa_61a04be405e80d79e919,2,1,10-1185
obqa,obqa_0f9af0431f92d2a1a0af,3,1,10-220
obqa,obqa_c986064e1c9c5391a8a0,4,1,12-819
obqa,obqa_3c6326144362181d7531,0,1,7-1137
obqa,obqa_2dea4b1a523456535b57,1,1,12-989
obqa,obqa_8def37e10edb74e11582,2,1,9-184
obqa,obqa_9d355186474858ddeebb,3,1,14-414
obqa,obqa_3998f66202d3014f62fa,4,1,8-313
obqa,obqa_33ea7973b719cf791b95,0,1,10-265
obqa,obqa_f751576fc72a3a214dd2,1,1,7-719
obqa,obqa_edbedd72dfeb8f84fb3f,2,1,13-417
obqa,obqa_2dc94507d5894bc8029e,3,1,14-847
obqa,obqa_4f713eb830ed93cf0889,4,1,1128
obqa,obqa_f2ea3c29341b3a6fdb46,0,1,10-296
obqa,obqa_6ae4fc46bc5e4d33f2eb,1,1,13-427
obqa,obqa_e5981b488b3d53406587,2,1,1944
obqa,obqa_d3d8053db399fc18ae9f,3,1,7-389
obqa,obqa_7f99089b31b6e26ceccd,4,1,10-21
obqa,obqa_4cb84343814fc17b6f52,0,1,14-1292
obqa,obqa_318714d8b326f75876c7,1,1,14-569
obqa,obqa_ec8314ddf1c8ce2abb5c,2,1,12-889
obqa,obqa_59ef44fa6d38042b8b06,3,1,13-777
obqa,obqa_fc25d9af8ff1dd89dae1,4,1,9-946
obqa,obqa_1841dfa04fb03d49122d,0,1,11-483
obqa,obqa_272e615ac8879ff6d599,1,1,13-585
obqa,obqa_fcf1fdc6f986ed69efed,2,1,14-1050
obqa,obqa_a2365963dfe683499db7,3,1,12-566
obqa,obqa_9573e55a77cdf1a67949,4,1,13-96
obqa,obqa_31f216819f9413be7664,0,1,13-370
obqa,obqa_9be69cf13ad4ee4d790e,1,1,11-244
obqa,obqa_2b81c70ddbd8d053e47a,2,1,10-396
obqa,obqa_6a6d3a5a8402b1323c60,3,1,12-335
obqa,obqa_597dd1bf273d39981402,4,1,9-1006
obqa,obqa_e1a1d6dd2bc2600fdb84,0,1,9-274
obqa,obqa_47422a530e436a4a0193,1,1,10-395
obqa,obqa_ab83aad363443e5810bb,2,1,12-1119
obqa,obqa_b9d5ad0b7ceeeae5cac2,3,1,14-1480
